id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
pte_total,Población turística equivalente (PTE),Población turística equivalente (PTE),base_calculado,5,pte_r + pte_v,,entero,personas,f,t,f,f
uds_vv_total,Total de viviendas vacacionales,Total de viviendas vacacionales,base_calculado,10,uds_vv_turisticas + uds_vv_residenciales,,entero,viviendas,f,t,f,t
plazas_vacacionales,Total de plazas vacacionales,Total de plazas vacacionales,base_calculado,15,plazas_vv_residenciales +  plazas_vv_turisticas,,entero,plazas,f,t,f,t
plazas_regladas,Total de plazas regladas,Total de plazas regladas,base_calculado,20,plazas_at_residenciales + plazas_at_turisticas,,entero,plazas,f,t,f,t
plazas_total,Total de plazas alojativas,Total de plazas alojativas,base_calculado,25,plazas_vacacionales + plazas_regladas,,entero,plazas,f,t,f,t
plazas_suelo_residencial,Plazas en suelo residencial,Plazas en suelo residencial,base_calculado,30,plazas_vv_residenciales +  plazas_at_residenciales,,entero,plazas,f,t,f,t
plazas_suelo_turistico,Plazas en suelo turístico,Plazas en suelo turístico,base_calculado,35,plazas_vv_turisticas + plazas_at_turisticas,,entero,plazas,f,t,f,t
viviendas_disponibles,Viviendas disponibles,Viviendas disponibles,base_calculado,36,"ifelse(!is.na(viviendas_year) & as.Date(viviendas_year) < as.Date(""2026-01-01""), viviendas_habituales, viviendas_habituales - uds_vv_residenciales)",,entero,viviendas,f,t,f,f
viviendas_necesarias,Viviendas necesarias,Viviendas necesarias,base_calculado,37,poblacion / personas_por_hogar,,entero,viviendas,f,t,f,f
viviendas_disponibles_viviendas_habituales,Porcentaje de viviendas disponibles,Porcentaje de viviendas disponibles,base_calculado,38,viviendas_disponibles / viviendas_habituales * 100,,porcentaje_2,,f,t,f,f
deficit_viviendas,Déficit de viviendas,Déficit de viviendas,base_calculado,39,viviendas_disponibles - viviendas_necesarias,,entero,viviendas,f,t,f,f
consumidores_vivienda,Consumidores de vivienda,Consumidores de vivienda,base_calculado,40,poblacion + pte_v,,entero,personas,f,f,f,f
poblacion_total,Población total,Población total,base_calculado,45,poblacion + pte_total,,entero,personas,f,t,f,f
vhabituales_habitantes,Viviendas habituales por 100 habitantes,Viviendas habituales por 100 habitantes,ratio,50,viviendas_habituales / poblacion * 100,,decimal_2,viviendas/100 personas,f,t,f,f
vhabituales_consumidores,Viviendas habituales por 100 consumidores,Viviendas habituales por 100 consumidores,ratio,55,viviendas_habituales / consumidores_vivienda * 100,,decimal_2,viviendas/100 personas,f,t,f,f
cobertura_demanda_viviendas,Cobertura de la demanda de viviendas,Cobertura de la demanda de viviendas,ratio,60,viviendas_disponibles / viviendas_necesarias * 100,,porcentaje_2,viviendas,f,t,f,f
rit_r,RIT reglada,RIT reglada,ratio,65,pte_r / poblacion * 100,,decimal_2,Turistas/100 residentes,t,t,t,f
rit_v,RIT vacacional,RIT vacacional,ratio,70,pte_v / poblacion * 100,,decimal_2,Turistas/100 residentes,t,t,t,f
rit,Ratio de Intensidad Turística,Ratio de Intensidad Turística,ratio,75,pte_total / poblacion * 100,,decimal_2,Turistas/100 residentes,t,t,t,f
rit_r_km2,RIT reglada / km²,RIT reglada / km²,ratio,80,pte_r / superficie_km2,,decimal_2,turistas/km² ,t,t,t,f
rit_v_km2,RIT vacacional / km²,RIT vacacional / km²,ratio,85,pte_v / superficie_km2,,decimal_2,turistas/km² ,t,t,t,f
rit_km2,RIT / km²,RIT / km²,ratio,90,pte_total / superficie_km2,,decimal_2,turistas/km² ,t,t,t,f
residentes_km2,Residentes / km² ,Residentes / km² ,ratio,95,poblacion / superficie_km2,,decimal_2,residentes/km² ,t,t,t,f
presion_humana_km2,Presión humana /km² ,Presión humana /km² ,ratio,100,poblacion_total / superficie_km2,,decimal_2,personas/km² ,t,t,t,f
