"tipo_fuente","esquema","nombre","descripcion_objeto","columna","tipo","permite_nulos","es_clave_primaria","tabla_destino","columna_destino","descripcion_columna"
"TABLA","public","alojamientos",NULL,"id","integer","NO","SÍ",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"establecimiento_id","character varying","NO","NO",NULL,NULL,"Clave única de registro oficial. Impide la duplicidad de licencias en la base de datos."
"TABLA","public","alojamientos",NULL,"nombre_comercial","text","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"isla_id","integer","YES","NO","islas","id",NULL
"TABLA","public","alojamientos",NULL,"municipio_id","integer","YES","NO","municipios","id",NULL
"TABLA","public","alojamientos",NULL,"localidad_id","integer","YES","NO","localidades","id",NULL
"TABLA","public","alojamientos",NULL,"modalidad_id","integer","YES","NO","modalidades","id",NULL
"TABLA","public","alojamientos",NULL,"tipologia_id","integer","YES","NO","tipologias","id",NULL
"TABLA","public","alojamientos",NULL,"clasificacion_id","integer","YES","NO","clasificaciones","id",NULL
"TABLA","public","alojamientos",NULL,"tipo_oferta","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"plazas","integer","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"unidades_explotacion","integer","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"plazas_estimadas","boolean","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"muni_original_gobcan","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"muni_detectado_geo","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"direccion_original","text","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"direccion_match","text","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"distancia_fuzzy","numeric","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"fuente_geocodigo","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"metodo_localidad","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"geo_erronea_gobcan","boolean","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"modalidad_original","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"tipologia_original","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"clasificacion_original","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"geom","USER-DEFINED","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"audit_resultado","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"audit_nota","text","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"fecha_alta","date","YES","NO",NULL,NULL,"Fecha de ingreso en este censo auditado. Por defecto toma la fecha del día de proceso."
"TABLA","public","alojamientos",NULL,"fecha_baja","date","YES","NO",NULL,NULL,"Fecha en la que el establecimiento deja de estar operativo o desaparece del registro oficial."
"TABLA","public","alojamientos",NULL,"fecha_sistema","timestamp without time zone","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"en_area_turistica","boolean","YES","NO",NULL,NULL,NULL
"TABLA","public","alojamientos",NULL,"geocode_area_turistica","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"id","integer","NO","SÍ",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"establecimiento_id","character varying","NO","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"direccion","text","YES","NO",NULL,NULL,NULL
