establecimiento_id;establecimiento_nombre_comercial;establecimiento_modalidad;establecimiento_tipologia;establecimiento_clasificacion;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio_nombre;direccion_localidad_nombre;direccion_codigo_postal;unidades_explotacion;plazas;longitud;latitud
-38-4-0000004;Masca Witch Garden;Extrahotelera;_U;Categoria Unica;Lomo De Arriba,;Tenerife;Santa Cruz De Tenerife;Buenavista Del Norte;_U;_U;0;0;0;0
A-38-4-0000581;Aguamarina;Extrahotelera;Apartamento;Tres Estrellas;Avda Del Atlantico, 6 (Urb. Golf Del Sur),;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;San Miguel De Abona;38620;160;320;-16.608961;28.024132
A-38-4-0000633;Fragua De Eliseo, La;Extrahotelera;Casa Emblematica;Categoria Unica;Calzadita La Jimemez, 5 - Igueste De Candelaria, 5;Tenerife;Santa Cruz De Tenerife;Candelaria;Igueste;38520;1;3;-16.377214;28.38536
A-38-4-0000644;Casas Alberto;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Fermin Perez, 88, 88;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Frontón (El);38620;1;2;-16.613266;28.113148
A-38-4-0000645;Casa Hilaria;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Santa Ana,15, 13;Tenerife;Santa Cruz De Tenerife;Garachico;Garachico;38450;1;4;-16.767203;28.371337
A-38-4-0000646;Finca El Lance;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Dr. Virgos Pinto, 23-27, 88;Tenerife;Santa Cruz De Tenerife;El Tanque;Tanque (El);38000;5;14;-16.779927;28.360302
A-38-4-0000648;Topacio;Extrahotelera;Casa Emblematica;Categoria Unica;C/. Candelaria, 7;Tenerife;Santa Cruz De Tenerife;Santa Cruz Tenerife;Santa Cruz De Tenerife;38000;2;4;-16.249292;28.465053
A-38-4-0000654;Hi Life;Extrahotelera;Casa Emblematica;Categoria Unica;C/. Emilio Calzadilla Esq. C/. Santa Rosa De Lima, 40;Tenerife;Santa Cruz De Tenerife;Santa Cruz Tenerife;Santa Cruz De Tenerife;38002;1;30;-16.249964;28.469266
A-38-4-0000655;La Tranquilidad;Extrahotelera;Casa Emblematica;Categoria Unica;C/ La Audiencia, 6, 6;Tenerife;Santa Cruz De Tenerife;Tegueste;Tegueste;38000;1;4;-16.333833;28.523647
A-38-4-0000661;El Cubo;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Temistocles Diaz Llanos, 2, 2;Tenerife;Santa Cruz De Tenerife;San Juan De La Rambla;San Juan De La Rambla;38420;1;2;-16.647238;28.393808
A-38-4-0000662;Mc San Agustin;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Viana, 34 (/Esq. C/ San Agustin), 34;Tenerife;Santa Cruz De Tenerife;San Cristobal De La Laguna;San Cristobal De La Laguna;38201;4;16;-16.314232;28.48924
A-38-4-0000689;11 Holiday Homes;Extrahotelera;Apartamento;Tres Estrellas;Urb. Golf Del Sur, S/N.,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Golf Del Sur;38620;11;32;-16.600742;28.026915
A-38-4-0000701;La Arañita;Extrahotelera;Casa Emblematica;Categoria Unica;C/ La Arañita, 15,;Tenerife;Santa Cruz De Tenerife;Tegueste;Tegueste;38280;1;6;-16.332716;28.52391
A-38-4-0000708;Paraiso Del Sol;Extrahotelera;Apartamento;2 Llaves;Avda. V Centenario, 7;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38670;94;192;-16.728839;28.067909
A-38-4-0000931;Casa Del Platano;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Hercules, 4,;Tenerife;Santa Cruz De Tenerife;Icod De Los Vinos;Icod De Los Vinos;38430;5;10;-16.721536;28.367713
