establecimiento_id;establecimiento_nombre_comercial;establecimiento_modalidad;establecimiento_tipologia;establecimiento_clasificacion;direccion;direccion_isla_nombre;direccion_provincia_nombre;direcion_municipio_nombre;direccion_localidad_nombre;direccion_codigo_postal;unidades_explotacion;plazas;longitud;latitud
-38-4-0000001;San Diego;Hotelera;_U;Dos Estrellas;Avda. San Diego, 40;Tenerife;Santa Cruz De Tenerife;San Cristobal De La Laguna;_U;_U;0;0;0;0
-38-4-0000003;Sin Denominación;Hotelera;_U;Categoria Unica;Calle Carrera Escultor Estévez;Tenerife;Santa Cruz De Tenerife;La Orotava;_U;_U;0;0;0;0
A-38-4-0006100;Pez Azul;Hotelera;Hotel;Cuatro Estrellas;C/. Rector Benito Rodriguez Rios, 1;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;135;270;-16.542721;28.412559
H-35-1-0000004;"Lemon &Amp; Soul Las Palmas";Hotelera;Hotel;Tres Estrellas;Alfredo L Jones, 37;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;64;128;-15.433318;28.14194
H-35-1-0000006;Madrid;Hotelera;Hotel;Una Estrella;De Cairasco, 4;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35002;33;53;-15.416196;28.102991
H-35-1-0000010;Sercotel Hotel Parque;Hotelera;Hotel;Tres Estrellas;_U;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35003;102;196;-15.416984;28.109561
H-35-1-0000011;Santa Catalina A Royal Hideaway Hotel;Hotelera;Hotel;Cinco Estrellas Gran Lujo;_U;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35005;204;408;-15.428255;28.121159
H-35-1-0000017;Matilde;Hotelera;Hotel Urbano;Tres Estrellas;Juan Rejon;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;38;78;-15.437827;28.131956
H-35-1-0000021;Hotel Catalina Plaza;Hotelera;Hotel;Una Estrella;Luis Morote, 16;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;45;82;-15.431367;28.141511
H-35-1-0000036;Turquesa;Hotelera;Pension;Una Estrella;Secretario Artiles, 69;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;6;12;-15.432156;28.14072
H-35-1-0000038;Falow;Hotelera;Pension;Una Estrella;Alfredo Calderon, 25;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35006;19;30;-15.431224;28.130486
H-35-1-0000039;España;Hotelera;Pension;Una Estrella;Domingo J Navarro, 34;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35002;18;25;-15.419158;28.10687
H-35-1-0000054;Fataga;Hotelera;Hotel;Cuatro Estrellas;Nestor De La Torre, 21;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35006;1;176;-15.433265;28.133655
H-35-1-0000056;Tamadaba;Hotelera;Hotel;Una Estrella;Pelayo, 10;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35010;39;59;-15.438516;28.13556
H-35-1-0000060;Miraflor;Hotelera;Pension;Una Estrella;Buenos Aires, 43;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35002;9;12;-15.420058;28.107082
H-35-1-0000062;Astoria;Hotelera;Hotel;Tres Estrellas;Fernando Guanarteme, 054;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35010;168;304;-15.437874;28.135102
H-35-1-0000064;Faycan;Hotelera;Hotel;Tres Estrellas;Nicolas Estevanez, 61;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;61;143;-15.435992;28.139215
H-35-1-0000068;Olympia;Hotelera;Hotel;Dos Estrellas;Doctor Grau Bassas, 01;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;40;78;-15.435599;28.137393
H-35-1-0000074;Pujol;Hotelera;Hotel;Dos Estrellas;Salvador Cuyás, 5;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;48;92;-15.430643;28.143858
H-35-1-0000077;"Bull Reina Isabel &Amp; Spa";Hotelera;Hotel;_U;_U;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;231;411;-15.433297;28.142166
H-35-1-0000080;Folias;Hotelera;Hotel;Tres Estrellas;Las Retamas, 17;Gran Canaria;Palmas (Las);San Bartolome De Tirajana;San Agustin;35100;79;158;-15.545775;27.76918
H-35-1-0000083;Hotel Playa Las Canteras;Hotelera;Hotel;Tres Estrellas;Prudencio Morales, 41;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35009;67;133;-15.430723;28.148998
H-35-1-0000088;Leon;Hotelera;Pension;Una Estrella;Graciliano Afonso, 05;Gran Canaria;Palmas (Las);Mogan;Arguineguin;35120;17;29;-15.682257;27.760509
H-35-1-0000096;"Bull Costa Canaria &Amp; Spa";Hotelera;Hotel;Cuatro Estrellas;Las Retamas, 1;Gran Canaria;Palmas (Las);San Bartolome De Tirajana;San Agustin;35100;245;518;-15.541664;27.771274
H-35-1-0000099;Perez;Hotelera;Pension;Dos Estrellas;Tecén, 26;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35009;20;38;-15.426177;28.15081
H-35-1-0000100;Alisios Canteras;Hotelera;Hotel;_U;_U;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35010;67;128;-15.439176;28.13531
H-35-1-0000101;Majorica;Hotelera;Hotel;Dos Estrellas;Ripoche, 22;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;34;48;-15.43326;28.140448
H-35-1-0000102;Aloe Canteras;Hotelera;Hotel;Tres Estrellas;Sagasta, 98;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35008;45;92;-15.429937;28.147736
H-35-1-0000106;Sea Of Clouds;Hotelera;Pension;Una Estrella;Nicolas Estevanez, 31;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;22;43;-15.433905;28.139342
H-35-1-0000111;Hotel Occidental Las Canteras;Hotelera;Hotel;Tres Estrellas;C/ Bernardo De La Torre;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35007;79;158;-15.434766;28.140612
H-35-1-0000112;Bajamar;Hotelera;Hotel;_U;_U;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;Las Palmas De Gran Canaria;35010;19;37;-15.438462;28.134986
